"Deployment.id","Setup.date","Pickup.date","First.behaviour.start","Last.behaviour.end","Days.deployed","Days.observed","N.observations","Puma.name","Lat","Long","Carcass.species","Carcass.age.sex","Cam.id","Setup.crew","General.location","Comments"
"1F_13May18","2018-05-13","2018-06-06","2018-05-13 11:25:09","2018-06-06 15:18:55",24,24.162337962963,1427,"1F",41.6668,-122.00352,"Mule Deer","Adult/Buck ","60","EL, EW","Dead Steer","1F not present on approach "
"1F_13Nov17","2017-11-13","2017-12-11","2017-11-13 11:43:48","2017-12-11 10:52:44",28,27.964537037037,1170,"1F",41.54979,-122.05113,"Mule Deer","Adult/Doe","53","BC, EL","EJ Louie / Fruit Growers","Cache approx. 30 m from road. 2 logging trucks drove by as we were setting the camera (we kept hidden). No sign of 1F or kitten upon approach "
"1F_15Oct17","2017-10-15","2017-11-16","2017-10-15 13:05:50","2017-11-16 13:30:05",32,32.0168402777778,774,"1F",41.45062,-121.89448,"Mule Deer","Fawn/Female","59","BC, WB","Trout Creek Campground","No sign of 1F or kitten when approaching carcass. "
"1F_18May18","2018-05-18","2018-06-10","2018-05-18 14:38:54","2018-05-27 19:54:07",23,9.21890046296296,1717,"1F",41.58072,-122.0316,"Mule Deer","Adult/Buck","57","WB, JK","West Haight","No sign of 1F or kitten upon approach, although we did hear her on the omni."
"1F_1Aug17","2017-08-01","2017-09-01","2017-08-01 10:48:53","2017-08-22 11:28:16",31,21.027349537037,404,"1F",41.50375,-121.99255,"Mule Deer","Adult/Buck","58","RL, JD","","RL & EL picked up and did veg"
"1F_23Apr19","2019-04-23","2019-06-03","2019-04-23 11:36:49","2019-06-03 14:40:18",41,41.1274189814815,675,"1F",41.62199,-121.96341,"Mule Deer","Yearling/Buck","53","WB, HS","S of Orr Mt","No sign of 1F; controlled burn going on by USFS in area, getting as close as ~75m from kill but upslope above escarpment. I confirmed they were burning at this site."
"1F_23Mar18","2018-03-23","2018-04-14","2018-03-23 13:29:56","2018-04-14 12:58:40",22,22.0199537037037,355,"1F",41.74143,-122.04961,"Mule Deer","Adult/Buck","60","WB, guest","Mt Hebron","No sign of 1F or kitten when deploying camera."
"1F_25Jul18","2018-07-25","2018-09-03","2018-07-25 13:51:01","2018-09-03 13:01:49",40,39.9658333333333,1183,"1F",41.51025,-122.04816,"Mule deer ","Fawn/Male","53","JK, TS","Ulcer Point ","No sign of 1F"
"1F_25Mar19","2019-03-25","2019-04-17","2019-03-25 13:00:10","2019-04-17 10:29:13",23,22.9368402777778,35,"1F",41.62046,-121.95521,"Mule Deer","Fawn/Male","53","WB, HS","S of Orr Mt","No sign of 1F; fresh snow present and no tracks found so unlikely we bumped her."
"1F_26Apr18","2018-04-26","2018-05-18","2018-04-26 12:13:19","2018-05-18 12:40:42",22,22.0190162037037,73,"1F",41.62294,-121.93244,"Mule Deer","Adult/Doe","56","WB, EL","Tennant","Bumped 1F and kitten about 30 seconds apart. Both were ~40m away and trotted away."
"1F_28Aug18","2018-08-28","2018-10-01","2018-08-28 09:49:49","2018-09-18 14:04:28",33,21.1768402777778,747,"1F",41.56622,-121.94902,"Mule Deer","Fawn/Unknown","52","WB, JH","Tennant","No sign of 1F; weird possible kill site here... JH or WB should probably retrieve cam"
"1F_30Apr19","2019-04-30","2019-06-03",NA,NA,34,NA,0,"1F",41.65472,-122.06111,"Mule Deer","Adult/Doe","60","JK, WB","Deer Mt","Carcass anchored to stake. Kill site found"
"1F_30Mar19","2019-03-30","2019-04-25","2019-03-30 12:05:27","2019-04-20 23:46:21",26,21.5284027777778,472,"1F",41.68568,-122.00289,"Mule Deer","Adult/Doe","60","EW, SS","Mt Hebron","1F and 9F heard on omni"
"1F_30Sep17","2017-09-30","2017-10-31","2017-09-30 13:00:58","2017-10-22 17:51:30",31,22.2017592592593,857,"1F",41.37417,-122.1265,"Mule Deer","Adult/Doe","56","BC, EL","Clear Creek Trailhead","Heard noise upslope while searching for carcass. Suspect 1F. No kitten tracks obvious - but could be deceiving due to substrate and current kitten size. Carcass consumption needs to be updated for deployment."
"1F_31Aug18","2018-08-31","2018-10-01",NA,NA,30,NA,0,"1F",41.56397,-121.97775,NA,NA,"55","WB, EW","West Haight","Bumped 1F when we got w/ in 5m of her. We could not see her because she was in the middle of a shrub thicket. Likely she has kittens in there, as we were in the area for 10-15 min, w/in 25m of her, before she actually left. We yelled a bit when she first started moving (didn't know if she was coming at us or not), but then talked in normal voices as she trotted away."
"1F_4Feb19","2019-02-04","2019-03-29","2019-02-04 14:01:16","2019-03-29 11:09:58",53,52.8810416666667,253,"1F",41.72184,-121.91762,"Mule Deer","Adult/Doe","58","WB, VSZ","Cedar Mt","Likely bumped 1F. It was snowing most of the day, but we found her bed site uphill of the carcass that was still warm and snowless. Her tracks leading away from the bed site revealed that she ran for a bit in the opposite direction of our approach."
"1F_4Nov17","2017-11-04","2017-11-27","2017-11-04 11:52:20","2017-11-07 18:20:05",23,3.26927083333333,1128,"1F",41.49337,-122.01114,"Mule Deer","Adult/Doe","60","WB, RL","Hart's Meadow","Lion tracks in snow sitting down and pointing in the direction we walked down the hill towards kill suggest we may have bumped them. Tracks show lion walking away from the area. Carcass use needs to be changed for deployment."
"1F_7Jan18","2018-01-07","2018-02-01","2018-01-07 13:30:24","2018-02-01 16:36:32",25,25.1292592592593,44,"1F",41.51418,-122.11582,"Mule Deer","Adult/Doe","53","WB, EL","Whaleback","1F not present during XR6 deployment, bird scat found, no other scavanger sign"
"1F_7Oct17","2017-10-07","2017-11-02","2017-10-07 15:21:54","2017-11-02 12:03:34",26,25.8622685185185,1246,"1F",41.52923,-122.13148,"Mule Deer","Adult/Doe","54","WB, EL","Whaleback","No sign of 1F or kitten when approaching carcass. Lion tracks found leading away from carcass down hill to the road where 2 lions walked for a bit. Scavenger sign notes for retrieval need to be included."
"1F_9Apr19","2019-04-09","2019-06-07","2019-04-09 10:59:08","2019-05-08 17:51:37",59,29.2864467592593,1655,"1F",41.62264,-122.04295,"Mule Deer","Adult/Doe","52","WB, DG","West Haight","No sign of 1F; fresh snow (from the morning) present and no tracks found so unlikely we bumped her."
"3M_10Jan18","2018-01-10","2018-02-01","2018-01-10 11:38:45","2018-01-30 20:21:06",22,20.3627430555556,840,"3M",41.67625,-121.95307,"Mule Deer","Adult/Buck","57","RL, EL","Orr Mt","Deer emanciated"
"3M_11Feb18","2018-02-11","2018-03-15","2018-02-11 15:04:07","2018-03-04 11:49:14",32,20.8646643518519,607,"3M",41.68592,-121.97805,"Mule Deer","Adult/Buck","60","WB, EL","Orr Mt","No sign of 3M when deploying cam. His VHF signal was loud on the omni, though."
"3M_19Oct18","2018-10-19","2018-12-03","2018-10-19 14:25:16","2018-10-23 10:13:11",45,3.82494212962963,2177,"3M",41.70001,-121.98615,"Mule Deer ","Adult","58","JK, JH","Mount Hebron","Bumped 3M on approach; camera is screwed to a tree, bring a nut tool "
"3M_20Nov17","2017-11-20","2017-12-13","2017-11-20 09:53:18","2017-12-11 08:07:14",23,20.9263425925926,1658,"3M",41.7022,-121.98465,"Mule Deer","Adult/Doe","56","RL, EL","Butte Creek, east of Mount Hebron","He was bedded down 3M from cache at about 0930, he most likely didn't hear us because of the creek.  He ran when we were 20-30m away across creek and up a tiny hill, looked back for a few seconds and then contiunued out of site.  No aggressive behavior."
"3M_22Oct17","2017-10-22","2017-11-14","2017-10-22 10:26:23","2017-11-12 17:16:49",23,21.2850231481481,1725,"3M",41.71171,-121.94084,"Mule Deer","Adult/Buck","53","RL, EL","Round valley/ cedar mtn.","BC picked up. No sign of 3M. Carcass fully consumed; Photos from XR6 deployment? Cause of Death?"
"3M_22Sep17","2017-09-22","2017-10-20","2017-09-22 13:18:59","2017-10-13 12:08:23",27,20.9093055555556,428,"3M",41.76894,-122.1175,"Mule Deer","Adult/Doe","59","WB, guest","Ball Mt","Saw 3M upon approach. He was walking away from us at ~50m, stopped and looked back at us, then continued walking away. The carcass was in between us when we first saw him.Scavenger sign notes need to be updated with deployment vs retrieval."
"3M_23Mar18","2018-03-23","2018-04-14","2018-03-23 12:24:53","2018-04-13 11:13:17",22,20.9919444444444,327,"3M",41.74453,-122.06169,"Mule Deer","Fawn/Buck","56","WB, guest","Mt Hebron","No sign of 3M when deploying camera but we had a booming signal from his collar when parking the truck and a weak one when returning, so we likely bumped him."
"3M_25Jan18","2018-01-25","2018-02-23","2018-01-25 11:35:24","2018-02-10 00:45:52",29,15.5489351851852,89,"3M",41.67022,-121.94405,"Mule Deer","Adult/Doe","56","RL, EL","Orr Mountain","Tracks  in snow from the morning, no visual of 3M when setting camera"
