"Deployment.id","Setup.date","Pickup.date","First.behaviour.start","Last.behaviour.end","Days.deployed","Days.observed","N.observations","Puma.name","Lat","Long","Carcass.species","Carcass.age.sex","Cam.id","Setup.crew","General.location","Comments"
"5M_1Nov17","2017-11-01","2017-11-28","2017-11-01 10:31:05","2017-11-05 06:22:21",27,3.82726851851852,1473,"5M",41.57354,-121.77453,"Mule Deer","Adult/Doe","57","RL, EL","Garner Mt","WB & EL picked up; Carcass use needs to be changed for what was found during deployment... no XR6 deployment form in folder."
"5M_21Sep18","2018-09-21","2018-10-13","2018-09-21 15:48:42","2018-10-13 15:07:26",21,21.9296759259259,408,"5M",41.76755,-122.09,"Mule Deer","Fawn/Unknown","58","EW, BC","Ball Mt","Saw 5M for 2 seconds as it quietly and rapidly ran in big leaps up the forested slope coming from the direction of the carcass"
"5M_22Nov17","2017-11-22","2018-01-06","2017-11-22 11:21:57","2017-11-30 01:56:11",45,7.60710648148148,3337,"5M",41.61959,-121.73671,"Mule Deer","Adult/Buck","55","WB, EL","Garner Mt","EL briefly saw 5M run away as we approached, ~50m away from us."
"5M_24Nov18","2018-11-24","2018-12-17","2018-11-24 16:22:53","2018-11-29 06:25:14",23,4.58496527777778,1586,"5M",41.64673,-121.78484,"Elk","Adult/Cow","51","BC, guest","Wildhorse Mt","No sign of 5M"
"5M_26Jul18","2018-07-26","2018-08-21","2018-07-26 20:00:56","2018-07-27 02:38:03",26,0.275775462962963,101,"5M",41.67215,-122.1331,"Elk","Yearling/Bull","58","BC, AB","Little Deer Mt.","Approached from a lava escarpment and saw 5M from ~60 m away. He was in a gully below us at the base of lava escarpments. He was feeding on the elk. Observed him undetected for ~5 mins then slowly started the descent towards the elk. We got close and weren't stealthy, talking, footsteps made noise, but weak wind was blowing from his direction towards us. He still didn't detect us until we got to ~15 m from him. He looked at us for ~4 seconds, low growl then walked fast away in an opposite direction from us and up a vegetated lava escarpment. He didn't stop to look back, continued on, lost visual when he was ~40 m away.  "
"5M_3Sep18","2018-09-03","2018-10-14","2018-09-03 10:26:22","2018-09-24 18:57:29",40,21.3549421296296,1214,"5M",41.71865,-122.15408,"Mule Deer","Adult/Doe","54 (Box 57)","JK, JH","Fox Flat ","No sign of 5M on receiver or approach; Kill site found "
"5M_5Sep17","2017-09-05","2017-10-06","2017-09-05 16:27:14","2017-09-26 11:00:16",30,20.7312731481481,2515,"5M",41.64235,-121.60676,"Mule Deer","Adult/Buck","57","WB, EL","Fourmile Hill","Saw 5M upon approach for setup. He was sitting ~10m from carcass and loped away when we were ~20m from him. Scavenger sign notes need to be updated with deployment vs retrieval."
"6M_21Nov17","2017-11-21","2017-12-19",NA,NA,28,NA,0,"6M",41.71149,-122.02523,"Mule Deer","Adult/Doe","59","RL, EL","Mount Hebron","Talked the whole way to the carcass, 6M was crouched less than 5m away.  He did not immediately move.  RL shouted and he ran to about 50m away and looked at us for a minute or two.  RL yelled again and he took off."
"7M_10May18","2018-05-10","2018-06-05",NA,NA,26,NA,0,"7M",41.49767,-121.83801,"Mule Deer","Adult/Doe","52","WB, EW","Asperin Butte","No sign of 7M when deploying camera."
"7M_15Feb18","2018-02-15","2018-03-21","2018-02-15 15:12:39","2018-02-25 17:10:25",34,10.0817824074074,964,"7M",41.62547,-121.84671,"Mule Deer","Adult/Doe","","BC, RL","Garner Butte","No sign of 7M when setting camera"
"7M_15Jan18","2018-01-15","2018-02-08","2018-01-15 15:30:56","2018-01-29 09:35:57",24,13.7534837962963,271,"7M",41.6522,-121.69286,"Mule Deer","Adult/Buck","57","BC, guest","East of Hill 23","No sign of 7M upon approach. Carcass secured with Python lock"
"7M_1Feb18","2018-02-01","2018-03-29","2018-02-01 11:23:55","2018-02-18 15:15:05",56,17.1605324074074,49,"7M",41.64445,-121.79482,"Mule Deer","Adult/Doe","57","RL, EL","North of Gardiner Mtn.","No sign of 7M when setting camera"
"7M_22Jan18","2018-01-22","2018-02-15","2018-01-22 11:11:24","2018-02-02 19:31:28",24,11.3472685185185,233,"7M",41.65615,-121.69997,"Mule Deer","Adult/Buck","52","RL, EL","Four Corners","No sign of 7M when setting camera, used camera stake"
"7M_23Nov18","2018-11-23","2019-01-07","2018-11-23 16:54:45","2018-12-12 18:20:48",45,19.0597569444444,408,"7M",41.61287,-121.73378,"Mule Deer","Adult/Buck","53","WB, guest","Garner Mt","A bit of snow there showed 7M's tracks leaving cache site, and his beacon was bumping when we parked the truck, so we likely bumped him off the carcass."
"7M_24Apr18","2018-04-24","2018-05-17","2018-04-24 14:17:57","2018-05-15 23:35:10",23,21.3869560185185,201,"7M",41.74989,-121.70531,"Mule Deer","Adult/Buck","59","WB, EL","Bonita Butte","Bumped 7M upon approach. First saw him trotting away from us at ~55m. He was likely sitting very close to the carcass."
"7M_24May18","2018-05-24","2018-06-16","2018-05-24 13:04:50","2018-06-14 23:29:11",23,21.4335763888889,1767,"7M",41.66157,-121.67216,"Mule Deer","Adult/Doe","59","WB, EW","Hill 23","Heard 7M on receiver before we approached but did not see him"
"7M_25Aug18","2018-08-25","2018-09-17","2018-08-25 14:50:20","2018-09-12 10:46:42",23,17.8308101851852,1399,"7M",41.59615,-121.7589,"Mule deer","Adult/doe","56","JH, BC","Tamarack Flat","No sign of 7M on approach, camera is screwed to log"
"7M_29Apr18","2018-04-29","2018-05-24",NA,NA,25,NA,0,"7M",41.66167,-121.70919,"Mule Deer","Adult/Doe","54","RL, EL","E of Hill 22","Heard 7M on receiver before we approached but did not see him"
"7M_29Sep18","2018-09-29","2019-07-22","2018-09-29 10:20:13","2018-10-20 13:45:49",296,21.1011111111111,492,"7M",41.60998,-121.6722,"Mule Deer","Fawn/Female","57","JH, WB","Little Mt. Hoffman ","No sign of 7M but did hear his collar on the reciever from the road. Slope 20%. Canopy cover 36.75. Aspect 256. Conifer mix, fir and pine. Shrubs mostly just seedlings, some gooseberry and ceanothus. Road used for nearest edge 160m. Nearest open 15m. Nearest hiding 2m. Camera still active. No kill site found all veg from cache site. No additional samples collected. No scavenger sign observed. 76-100% consumption. "
"7M_5Jul18","2018-07-05","2018-09-04","2018-07-05 16:15:52","2018-07-26 19:34:08",61,21.1376851851852,842,"7M",41.54074,-121.769,"Mule Deer","Adult/Doe","60","WB, TS","Red Cap Mt","No sign of 7M "
