"Deployment.id","Setup.date","Pickup.date","First.behaviour.start","Last.behaviour.end","Days.deployed","Days.observed","N.observations","Puma.name","Lat","Long","Carcass.species","Carcass.age.sex","Cam.id","Setup.crew","General.location","Comments","Species.richness","N.kittens","Uncollared.puma.present","Bear.present","Bobcat.present","Coyote.present","Puma.present","Total Feeding Time (s) Puma","Total Feeding Time (s) Kitten","Mean Feeding Bout Duration (s) Puma","Mean Feeding Bout Duration (s) Kitten","Std Dev Feeding Bout Duration (s) Puma","Std Dev Feeding Bout Duration (s) Kitten","Total Feeding Time (m)","Kitten alert","Kitten bed/rest","Kitten cache","Kitten defend","Kitten groom","Kitten mark","Kitten play","Puma alert","Puma bed/rest","Puma cache","Puma defend","Puma groom","Puma mark","Puma play","Total Alert Behaviour Counts"
"4M_26Mar18","2018-03-26","2018-04-17","2018-03-26 13:49:53","2018-04-14 23:19:15",22,19.4370601851852,499,"4M",41.5019,-122.27407,"Mule Deer","Adult/Buck","53","RL, WB","Bolam","No sign of 4M when deploying camera.",7,0,FALSE,TRUE,FALSE,FALSE,TRUE,1103.556,0,44.14224,0,39.4794471806534,0,18.3926,0,0,0,0,0,0,0,14,0,22,0,0,0,0,14
"4M_31Aug18","2018-08-31","2018-11-12","2018-08-31 09:52:22","2018-09-20 12:39:26",72,20.1160185185185,410,"4M",41.80421,-122.17213,"Mule Deer","Yearling/Doe","51","WB, EW","Ball Mt","No sign of 4M, when retrieved the cluster was no longer in the app",8,0,FALSE,TRUE,FALSE,FALSE,TRUE,1931.865,0,49.535,0,43.1523162725271,0,32.19775,0,0,0,0,0,0,0,29,0,3,0,0,0,0,29
"4M_3Apr17","2017-04-03","2017-05-11","2017-04-03 13:51:27","2017-04-07 16:39:32",38,4.11672453703704,2931,"4M",41.66125,-121.83669,"Elk","Adult/Cow","","BC, WB","Long Prairie","2 cameras deployed; 1 had batteries die, other SD card filled up",10,0,FALSE,TRUE,FALSE,TRUE,TRUE,1399.765,0,25.9215740740741,0,22.4253332712046,0,23.3294166666667,0,0,0,0,0,0,0,46,0,3,0,0,0,0,46
"4M_5Apr18","2018-04-05","2018-04-27","2018-04-05 09:41:58","2018-04-26 07:58:07",22,20.9278819444444,860,"4M",41.37812,-122.28384,"Mule deer","Adult/Doe","51","RL, BC","Mount Shasta","",7,0,FALSE,FALSE,FALSE,FALSE,TRUE,5800.242,0,47.1564390243902,0,46.0139255290457,0,96.6707,0,0,0,0,0,0,0,88,0,31,0,7,0,0,88
"5M_12Sep18","2018-09-12","2018-10-25","2018-09-12 11:18:38","2018-09-17 20:39:55",42,5.38978009259259,1539,"5M",41.61886,-121.7976,"Mule Deer","Adult/Buck","60","JK, EW","Garner Mountain","Did not hear 5M on Omni while approaching ",5,0,FALSE,FALSE,FALSE,FALSE,TRUE,15708.949,0,55.3132007042254,0,70.3886753885347,0,261.815816666667,0,0,0,0,0,0,0,208,8,79,0,3,0,1,208
"5M_14Nov17","2017-11-14","2017-12-11","2017-11-14 11:58:15","2017-12-05 17:29:11",27,21.2298148148148,632,"5M",41.57526,-121.40117,"Mule Deer","Fawn/Buck","54","RL, EL","East of Glass Mountain","",7,0,FALSE,FALSE,FALSE,TRUE,TRUE,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"5M_17Jan18","2018-01-17","2018-02-14","2018-01-17 11:03:14","2018-02-07 04:46:51",28,20.7386226851852,836,"5M",41.63424,-121.89897,"Mule Deer","Adult/Doe","54","RL, EL","Tennant","No sign of 5M when setting camera, in sage brush, used stake to put up camera",6,0,FALSE,FALSE,FALSE,TRUE,TRUE,2410.997,0,40.1832833333333,0,36.2363315365042,0,40.1832833333333,0,0,0,0,0,0,0,65,48,26,1,1,0,0,65
"5M_18May17","2017-05-18","2017-07-09","2017-05-18 10:27:03","2017-06-07 21:07:29",52,20.4447453703704,1080,"5M",41.67039,-121.78627,"Mule Deer","Adult/Doe","54","WB, RL","Wild Horse Mt","HW & BC picked up",12,0,FALSE,FALSE,FALSE,FALSE,TRUE,8194.65,0,44.0572580645161,0,47.6533657119157,0,136.5775,0,0,0,0,0,0,0,110,2,55,0,0,0,1,110
"5M_1Nov17","2017-11-01","2017-11-28","2017-11-01 10:31:05","2017-11-05 06:22:21",27,3.82726851851852,1473,"5M",41.57354,-121.77453,"Mule Deer","Adult/Doe","57","RL, EL","Garner Mt","WB & EL picked up; Carcass use needs to be changed for what was found during deployment... no XR6 deployment form in folder.",3,0,FALSE,FALSE,FALSE,FALSE,TRUE,15130.529,0,46.6991635802469,0,49.9297795943001,0,252.175483333333,0,0,0,0,0,0,0,179,0,57,0,6,0,5,179
"5M_21Sep18","2018-09-21","2018-10-13","2018-09-21 15:48:42","2018-10-12 10:57:02",21,20.755787037037,406,"5M",41.76755,-122.09,"Mule Deer","Fawn/Unknown","58","EW, BC","Ball Mt","Saw 5M for 2 seconds as it quietly and rapidly ran in big leaps up the forested slope coming from the direction of the carcass",9,0,FALSE,FALSE,TRUE,TRUE,TRUE,1737.811,0,41.3764523809524,0,36.6159951075645,0,28.9635166666667,0,0,0,0,0,0,0,30,1,5,0,0,0,0,30
