"Deployment.id","Setup.date","Pickup.date","First.behaviour.start","Last.behaviour.end","Days.deployed","Days.observed","N.observations","Puma.name","Lat","Long","Carcass.species","Carcass.age.sex","Cam.id","Setup.crew","General.location","Comments","Species.richness","N.kittens","Uncollared.puma.present","Bear.present","Bobcat.present","Coyote.present","Puma.present","Total Feeding Time (s) Puma","Total Feeding Time (s) Kitten","Mean Feeding Bout Duration (s) Puma","Mean Feeding Bout Duration (s) Kitten","Std Dev Feeding Bout Duration (s) Puma","Std Dev Feeding Bout Duration (s) Kitten","Total Feeding Time (m)","Kitten alert","Kitten bed/rest","Kitten cache","Kitten defend","Kitten groom","Kitten mark","Kitten play","Puma alert","Puma bed/rest","Puma cache","Puma defend","Puma groom","Puma mark","Puma play","Total Alert Behaviour Counts"
"8F_16Jan18","2018-01-16","2018-02-11","2018-01-16 11:24:58","2018-02-06 23:46:09",26,21.5147106481481,240,"8F",41.70723,-122.01733,"Mule Deer","Adult/Doe","58","WB, RL","Mt Hebron","No sign of 8F or kittens when deploying camera.",4,3,FALSE,FALSE,FALSE,FALSE,TRUE,536.349,1107.161,76.6212857142857,52.7219523809524,114.13407904261,54.8435769844347,27.3918333333333,6,4,0,18,4,0,0,14,2,0,1,2,0,0,20
"8F_19Jan18","2018-01-19","2018-02-10","2018-01-19 10:39:26","2018-02-09 04:47:08",22,20.7553472222222,981,"8F",41.69924,-122.02935,"Mule Deer","Adult/Buck","60","WB, RL","Mt Hebron","No sign of 8F or kittens when deploying camera; Lots of fresh tracks in the snow from them, though, and we picked up a strong VHF signal from her as we parked the truck.",10,3,FALSE,FALSE,FALSE,TRUE,TRUE,1127.482,3686.648,36.3703870967742,68.2712592592593,42.7810889121797,78.4895237970889,80.2355,30,2,0,42,1,0,0,34,0,0,4,0,0,0,64
"8F_20Nov18","2018-11-20","2019-07-18","2018-11-20 12:52:48","2018-11-22 00:16:03",240,1.47447916666667,1063,"8F",41.40966,-122.10427,"Mule Deer","Adult/Doe","56","WB, guest","E Mt Shasta","No sign of 8F or kittens, but we heard her beacon when parking truck. Retrieval: prey record no longer in app. Cam was off, veg done at cache pile (full of hair and remaining bones). No scavenger sign discernible. Aspect: 87, slope: 24, CC: 31.25, red Fir, no shrubs/shrub cover, nearest edge: 100m, nearest open: 8m  ",3,1,FALSE,TRUE,FALSE,FALSE,TRUE,349.095,0,19.3941666666667,0,19.7440837460387,0,5.81825,1,0,0,0,0,0,0,16,0,0,0,0,0,0,17
"8F_21Sep18","2018-09-21","2018-10-25","2018-09-21 13:27:15","2018-10-12 17:02:43",33,21.107962962963,802,"8F",41.55665,-121.74346,"Mule Deer","Fawn/Male","56","EW, BC","Red Cap Mt","No sign of 8F",9,2,FALSE,TRUE,FALSE,FALSE,TRUE,299.399,1591.127,19.9599333333333,46.7978529411765,21.7452729262729,83.7316108792388,31.5087666666667,33,1,1,2,0,1,2,7,2,0,1,0,0,0,40
"8F_22Mar18","2018-03-22","2018-04-14","2018-03-22 16:28:58","2018-04-12 12:04:42",23,20.8581481481481,1907,"8F",41.70523,-121.99333,"Mule Deer","Adult/Doe","59","BC","Mt Hebron","Collared doe",9,3,FALSE,FALSE,FALSE,FALSE,TRUE,1026.917,2220.11,24.4504047619048,32.1755072463768,22.7268943067937,36.3155668256916,54.1171166666667,51,49,0,36,25,1,0,57,29,1,1,7,0,0,108
"8F_25Feb18","2018-02-25","2018-03-19","2018-02-25 09:18:35","2018-03-18 08:12:24",22,20.9540393518519,308,"8F",41.6269,-121.97408,"Mule Deer","Adult/Doe","56","RL, EL","Tennant","No sign of 8F when deploying camera, fresh kitten tracks in snow",9,3,FALSE,FALSE,FALSE,TRUE,TRUE,121.229,422.145,30.30725,42.2145,29.9865337596173,60.502711425467,9.05623333333333,15,2,0,10,0,0,0,4,0,0,2,0,0,0,19
"8F_28Mar18","2018-03-28","2018-04-19","2018-03-28 14:54:42","2018-04-18 13:18:53",22,20.9751273148148,609,"8F",41.71191,-121.94151,"Mule Deer","Adult/Doe","57","RL, BC","Round Valley","No sign of 8F or kittens.  Photos from deployment uploaded",9,3,FALSE,FALSE,FALSE,TRUE,TRUE,132.837,635.007,13.2837,25.40028,7.16888176697655,28.9603290619542,12.7974,20,3,1,16,3,0,3,10,2,1,9,2,0,0,30
"8F_29Apr18","2018-04-29","2018-05-22","2018-04-29 14:07:10","2018-05-08 17:33:07",23,9.14302083333333,3220,"8F",41.64806,-121.99086,"Mule Deer","Adult/Buck","55","WB, EL","Orr Lake","Bumped 8F and all 3 kittens upon approach. They were ~10m from the carcass under a large juniper. 8F and two of the kittens ran away when we were ~25m away. The third kitten hid behind a bush until we were ~10m away. We talked softly the whole time.",7,3,FALSE,FALSE,FALSE,TRUE,TRUE,2755.758,5108.87,43.05871875,31.5362345679012,64.3755830571762,33.6498083422861,131.077133333333,115,134,17,48,3,0,0,84,49,27,3,5,0,0,199
"8F_29May18","2018-05-29","2018-07-12",NA,NA,44,NA,0,"8F",41.44448,-121.98547,"Mule Deer","Adult/Doe","51","WB, JH","Dry Creek Peak","No sign of 8F and kittens",0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8F_3Sep18","2018-09-03","2018-11-12","2018-09-03 15:31:02","2018-09-24 19:10:19",69,21.1522800925926,1496,"8F",41.5241,-122.08944,"Mule Deer","Adult/Buck","53","JK, JH","Whaleback/Pomeroy Creek","Heard 8F on receiver before approaching, but no visual ",12,1,FALSE,TRUE,FALSE,FALSE,TRUE,893.708,2570.389,68.7467692307692,40.162328125,78.8916476041178,43.2794386311093,57.73495,38,0,2,0,0,0,1,8,0,0,0,0,0,0,46
"8F_4Jun18","2018-06-04","2018-07-12",NA,NA,38,NA,0,"8F",41.45667,-122.00901,"Mule Deer","Adult/Doe","55","WB, JK","Ash Creek Butte","Saw 8F run away when we were ~80m away, uphill. No sign of the kittens.",0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8F_7Jun18","2018-06-07","2018-07-13",NA,NA,36,NA,0,"8F",41.45361,-122.10503,"Mule Deer","Adult/Doe","58","WB, NV","Brewer Creek TH","No sign of 8F, but bear had taken over carcass before deployment.",0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8F_9Mar18","2018-03-09","2018-04-01",NA,NA,23,NA,0,"8F",41.69937,-121.98071,"Mule Deer","Adult/Buck","51","BC, RL","N of Orr","Potential SD card malfunction",0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9F_14Mar19","2019-03-14","2019-04-09","2019-03-14 14:38:28","2019-04-04 16:15:19",26,21.0672569444444,513,"9F",41.69566,-121.90418,"Mule Deer","Fawn/Female","51","JK, HB","Cedar Mt","9F heard of omni after setting the camera, likely close",8,0,FALSE,TRUE,TRUE,FALSE,TRUE,1358.353,0,30.8716590909091,0,31.1578251927432,0,22.6392166666667,0,0,0,0,0,0,0,40,0,17,0,0,0,0,40
"9F_17Apr19","2019-04-17","2019-06-03","2019-04-17 12:56:47","2019-04-22 20:27:11",47,5.31277777777778,1356,"9F",41.72965,-121.90544,"Mule Deer","Adult/Doe","64","JK, SS","Cedar Mt","9F heard on omni before site visit, but not after. ",3,0,FALSE,FALSE,FALSE,FALSE,TRUE,14465.97,0,48.2199,0,62.3808912114743,0,241.0995,0,0,0,0,0,0,0,192,1,61,0,1,1,0,192
"9F_18Dec18","2018-12-18","2019-01-11","2018-12-18 12:19:34","2019-01-04 10:36:41",24,16.9285532407407,267,"9F",41.71793,-121.73331,"Mule deer","Adult/Buck","","JH, EW","Three sisters","9F was heard on the reciever when we parked, did not see her and did not hear her on the reciever when we left",7,0,FALSE,TRUE,FALSE,TRUE,TRUE,591.463,0,34.7919411764706,0,37.7096619987348,0,9.85771666666667,0,0,0,0,0,0,0,13,0,10,0,0,0,0,13
"9F_19Mar18","2018-03-19","2018-04-09","2018-03-19 10:36:27","2018-04-09 12:07:14",21,21.1047106481481,740,"9F",41.7156,-121.89013,"Mule Deer","Adult/Buck","52","RL, EL","Cedar mtn","No sign of 9F when approaching. Tracks from night before",5,0,FALSE,TRUE,FALSE,FALSE,TRUE,3448.603,0,28.9798571428571,0,30.6640683114883,0,57.4767166666667,0,0,0,0,0,0,0,115,3,71,0,1,0,0,115
"9F_1Sep18","2018-09-01","2018-10-13","2018-09-01 16:03:27","2018-09-22 18:47:33",41,21.1139583333333,895,"9F",41.76899,-122.11115,"Mule Deer","Fawn/Male","57 (Box 59)","WB, BC","Ball Mt","No sign of 9F",8,0,FALSE,TRUE,FALSE,FALSE,TRUE,24.662,0,24.662,0,NA,0,0.411033333333333,0,0,0,0,0,0,0,2,1,4,0,0,0,0,2
"9F_22May18","2018-05-22","2018-06-15",NA,NA,24,NA,0,"9F",41.711,-121.1891,"Mule Deer","Yearling/Buck","55","BC, JH","Cedar Mountain","No sign of 9F",0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9F_23Aug18","2018-08-23","2018-09-17","2018-08-23 10:18:39","2018-09-13 09:51:44",25,20.9813078703704,555,"9F",41.7519,-122.16244,"Mule deer","Adult/doe","","JH, JK","Fox Flat","No sign of 9F on approach, camera is screwed to tree!",7,0,FALSE,TRUE,FALSE,TRUE,TRUE,47.065,0,23.5325,0,8.89469620054558,0,0.784416666666667,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3
"9F_29Jan19","2019-01-29","2019-03-27","2019-01-29 12:18:20","2019-02-16 21:44:48",57,18.3933796296296,426,"9F",41.73348,-121.7724,"Mule Deer","Adult/Doe","60","WB, JH","Sharp Mountain","No sign of 9F",6,0,FALSE,FALSE,FALSE,TRUE,TRUE,357.814,0,29.8178333333333,0,21.2413795513009,0,5.96356666666667,0,0,0,0,0,0,0,12,1,20,2,0,0,0,12
"9F_2May18","2018-05-02","2018-05-30",NA,NA,28,NA,0,"9F",41.71085,-121.88557,"Mule deer","Adult/Doe","55","WB, EW","Cedar Mt","9F not on carcass",0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9F_3Apr19","2019-04-03","2019-04-30","2019-04-03 11:38:00","2019-04-22 08:34:02",27,18.913912037037,291,"9F",41.69084,-121.96023,"Mule Deer","Adult/Doe","58","JH, HS","Kegg","9F not seen or heard upon approach",6,0,FALSE,FALSE,FALSE,TRUE,TRUE,71.192,0,17.798,0,16.2664981480342,0,1.18653333333333,0,0,0,0,0,0,0,26,6,26,0,5,0,0,26
"9F_4Apr18","2018-04-04","2018-04-26","2018-04-04 15:52:04","2018-04-25 08:14:28",22,20.6822222222222,958,"9F",41.7399,-121.91327,"Mule deer","Fawn/Female","55","RL, BC","North of Cedar","",8,0,FALSE,FALSE,FALSE,TRUE,TRUE,3697.268,0,28.4405230769231,0,27.6715036749224,0,61.6211333333333,0,0,0,0,0,0,0,126,12,41,0,6,0,1,126
"9F_7Dec18","2018-12-07","2019-01-10","2018-12-07 15:11:29","2018-12-28 22:03:50",34,21.2863541666667,1235,"9F",41.72003,-121.77759,"Mule deer","Adult/doe","58","JH, JK","Sharp Mountain","no sign of 9F",11,0,FALSE,TRUE,FALSE,FALSE,TRUE,711.952,0,24.5500689655172,0,28.164984574228,0,11.8658666666667,0,0,0,0,0,0,0,16,0,0,0,0,0,0,16
"9F_9Jul18","2018-07-09","2018-08-12","2018-07-09 12:21:57","2018-07-29 01:47:51",34,19.5596527777778,140,"9F",41.7448,-122.13079,"Mule Deer","Fawn/Unknown","54","JK, BC","Fox Flat","No sign of 9F",10,0,FALSE,TRUE,TRUE,FALSE,TRUE,565.051,0,56.5051,0,37.7557507862489,0,9.41751666666667,0,0,0,0,0,0,0,10,0,2,0,0,0,0,10
